,LCONS,LDISP,LPRICE
1985Q1,4.631812,4.430817,4.288042
1985Q2,4.611152,4.448516,4.326723
1985Q3,4.564348,4.449685,4.382417
1985Q4,4.574711,4.45667,4.397372
1986Q1,4.602166,4.478473,4.377125
1986Q2,4.578826,4.481872,4.423875
1986Q3,4.552824,4.488636,4.462596
1986Q4,4.564348,4.49981,4.457612
1987Q1,4.561218,4.50976,4.460259
1987Q2,4.558079,4.52396,4.482066
1987Q3,4.533674,4.541165,4.541419
1987Q4,4.547541,4.546481,4.552203
1988Q1,4.540098,4.563306,4.580099
1988Q2,4.550714,4.574711,4.55282
1988Q3,4.55703,4.593098,4.568406
1988Q4,4.568506,4.600158,4.556276
1989Q1,4.588024,4.60517,4.576377
1989Q2,4.622027,4.60517,4.561661
1989Q3,4.600158,4.601162,4.58998
1989Q4,4.621044,4.60417,4.594782
1990Q1,4.622027,4.603168,4.611541
1990Q2,4.632785,4.608166,4.621955
1990Q3,4.579852,4.613138,4.677562
1990Q4,4.584967,4.596129,4.687878
1991Q1,4.619073,4.594109,4.670725
1991Q2,4.635699,4.59512,4.66722
1991Q3,4.587006,4.585987,4.727694
1991Q4,4.617099,4.59512,4.703351
1992Q1,4.646312,4.583947,4.677982
1992Q2,4.644391,4.587006,4.691436
1992Q3,4.613138,4.601162,4.732607
1992Q4,4.655863,4.599152,4.692673
1993Q1,4.713127,4.599152,4.644684
1993Q2,4.733563,4.60517,4.615843
1993Q3,4.674696,4.620059,4.681993
1993Q4,4.656813,4.630838,4.707963
1994Q1,4.681205,4.641502,4.679708
1994Q2,4.726502,4.650144,4.622382
