DATE,GDPpc
1/1/1947,13513
4/1/1947,13437
7/1/1947,13362
10/1/1947,13510
1/1/1948,13649
4/1/1948,13816
7/1/1948,13834
10/1/1948,13784
1/1/1949,13537
4/1/1949,13438
7/1/1949,13528
10/1/1949,13346
1/1/1950,13819
4/1/1950,14186
7/1/1950,14670
10/1/1950,14886
1/1/1951,15029
4/1/1951,15229
7/1/1951,15472
10/1/1951,15433
1/1/1952,15532
4/1/1952,15503
7/1/1952,15548
10/1/1952,15985
1/1/1953,16221
4/1/1953,16287
7/1/1953,16122
10/1/1953,15803
1/1/1954,15664
4/1/1954,15617
7/1/1954,15722
10/1/1954,15951
1/1/1955,16338
4/1/1955,16537
7/1/1955,16684
10/1/1955,16703
1/1/1956,16568
4/1/1956,16637
7/1/1956,16546
10/1/1956,16733
1/1/1957,16770
4/1/1957,16664
7/1/1957,16751
10/1/1957,16505
1/1/1958,16016
4/1/1958,16060
7/1/1958,16360
10/1/1958,16666
1/1/1959,16908
4/1/1959,17253
7/1/1959,17146
10/1/1959,17138
1/1/1960,17380
4/1/1960,17253
7/1/1960,17223
10/1/1960,16938
1/1/1961,16986
4/1/1961,17236
7/1/1961,17450
10/1/1961,17728
1/1/1962,17983
4/1/1962,18113
7/1/1962,18215
10/1/1962,18212
1/1/1963,18354
4/1/1963,18534
7/1/1963,18823
10/1/1963,18885
1/1/1964,19233
4/1/1964,19401
7/1/1964,19593
10/1/1964,19593
1/1/1965,20021
4/1/1965,20240
7/1/1965,20582
10/1/1965,20999
1/1/1966,21464
4/1/1966,21496
7/1/1966,21583
10/1/1966,21701
1/1/1967,21847
4/1/1967,21812
7/1/1967,21939
10/1/1967,22053
1/1/1968,22454
4/1/1968,22781
7/1/1968,22883
10/1/1968,22923
1/1/1969,23231
4/1/1969,23252
7/1/1969,23332
10/1/1969,23162
1/1/1970,23064
4/1/1970,23033
7/1/1970,23159
10/1/1970,22841
1/1/1971,23381
4/1/1971,23447
7/1/1971,23557
10/1/1971,23554
1/1/1972,23919
4/1/1972,24415
7/1/1972,24576
10/1/1972,24918
1/1/1973,25477
4/1/1973,25708
7/1/1973,25505
10/1/1973,25680
1/1/1974,25415
4/1/1974,25427
7/1/1974,25117
10/1/1974,24952
1/1/1975,24601
4/1/1975,24731
7/1/1975,25065
10/1/1975,25338
1/1/1976,25854
4/1/1976,25994
7/1/1976,26059
10/1/1976,26186
1/1/1977,26429
4/1/1977,26883
7/1/1977,27282
10/1/1977,27207
1/1/1978,27238
4/1/1978,28225
7/1/1978,28418
10/1/1978,28715
1/1/1979,28699
4/1/1979,28659
7/1/1979,28778
10/1/1979,28763
1/1/1980,28775
4/1/1980,28113
7/1/1980,27987
10/1/1980,28428
1/1/1981,28957
4/1/1981,28681
7/1/1981,28931
10/1/1981,28519
1/1/1982,27982
4/1/1982,28073
7/1/1982,27900
10/1/1982,27859
1/1/1983,28167
4/1/1983,28750
7/1/1983,29241
10/1/1983,29774
1/1/1984,30307
4/1/1984,30777
7/1/1984,31005
10/1/1984,31176
1/1/1985,31428
4/1/1985,31649
7/1/1985,32058
10/1/1985,32218
1/1/1986,32453
4/1/1986,32533
7/1/1986,32779
10/1/1986,32870
1/1/1987,33036
4/1/1987,33336
7/1/1987,33556
10/1/1987,34025
1/1/1988,34148
4/1/1988,34528
7/1/1988,34637
10/1/1988,35008
1/1/1989,35291
4/1/1989,35488
7/1/1989,35654
10/1/1989,35633
1/1/1990,35941
4/1/1990,35968
7/1/1990,35850
10/1/1990,35419
1/1/1991,35145
4/1/1991,35305
7/1/1991,35348
10/1/1991,35381
1/1/1992,35694
4/1/1992,35968
7/1/1992,36184
10/1/1992,36420
1/1/1993,36381
4/1/1993,36486
7/1/1993,36539
10/1/1993,36909
1/1/1994,37171
4/1/1994,37569
7/1/1994,37669
10/1/1994,37980
1/1/1995,38008
4/1/1995,38033
7/1/1995,38235
10/1/1995,38389
1/1/1996,38544
4/1/1996,39106
7/1/1996,39340
10/1/1996,39629
1/1/1997,39825
4/1/1997,40311
7/1/1997,40689
10/1/1997,40877
1/1/1998,41176
4/1/1998,41461
7/1/1998,41873
10/1/1998,42432
1/1/1999,42663
4/1/1999,42897
7/1/1999,43299
10/1/1999,43919
1/1/2000,43935
4/1/2000,44654
7/1/2000,44586
10/1/2000,44721
1/1/2001,44492
4/1/2001,44623
7/1/2001,44366
10/1/2001,44376
1/1/2002,44687
4/1/2002,44834
7/1/2002,44938
10/1/2002,44857
1/1/2003,44996
4/1/2003,45312
7/1/2003,45957
10/1/2003,46384
1/1/2004,46560
4/1/2004,46799
7/1/2004,47107
10/1/2004,47396
1/1/2005,47800
4/1/2005,47947
7/1/2005,48228
10/1/2005,48381
1/1/2006,48856
4/1/2006,48891
7/1/2006,48809
10/1/2006,49065
1/1/2007,48987
4/1/2007,49251
7/1/2007,49455
10/1/2007,49506
1/1/2008,49060
4/1/2008,49196
7/1/2008,48841
10/1/2008,47697
1/1/2009,46941
4/1/2009,46781
7/1/2009,46826
10/1/2009,47170
1/1/2010,47280
4/1/2010,47649
7/1/2010,47873
10/1/2010,48077
1/1/2011,47811
4/1/2011,48077
7/1/2011,48082
10/1/2011,48529
1/1/2012,48771
4/1/2012,48917
7/1/2012,48881
10/1/2012,48797
1/1/2013,49066
4/1/2013,49084
7/1/2013,49366
10/1/2013,49749
1/1/2014,49518
4/1/2014,49917
7/1/2014,50424
10/1/2014,50612
1/1/2015,50789
4/1/2015,51034
7/1/2015,51188
10/1/2015,51204
1/1/2016,51233
4/1/2016,51331
7/1/2016,51678
10/1/2016,51849
1/1/2017,51860
