,YL,W,UN,TUD,L,KL
1892,0.211965089,1.16315081,0.063,0.106,9.539644119,0.628338672
1893,0.210865612,1.16315081,0.075,0.104,9.532423871,0.63980187
1894,0.21596928,1.16315081,0.069,0.101,9.553930076,0.635241737
1895,0.215160644,1.16315081,0.058,0.099,9.574983486,0.629242094
1896,0.216228233,1.193922468,0.033,0.105,9.609116492,0.617514457
1897,0.212726848,1.193922468,0.033,0.112,9.61580548,0.641302328
1898,0.217984742,1.193922468,0.028,0.112,9.629050707,0.675792167
1899,0.222779486,1.223775432,0.02,0.121,9.648595303,0.708265795
1900,0.217996234,1.223775432,0.025,0.127,9.655026193,0.747736411
1901,0.225034088,1.223775432,0.033,0.126,9.655026193,0.791695055
1902,0.223510928,1.223775432,0.04,0.124,9.655026193,0.834100358
1903,0.221932177,1.223775432,0.047,0.121,9.661415991,0.869246253
1904,0.225034088,1.223775432,0.06,0.119,9.655026193,0.904772383
1905,0.225596857,1.223775432,0.05,0.119,9.674074388,0.910376412
1906,0.222457211,1.252762968,0.036,0.131,9.698920387,0.901646995
1907,0.221649783,1.252762968,0.037,0.147,9.71111566,0.879949965
1908,0.224120131,1.252762968,0.078,0.144,9.674074388,0.90083866
1909,0.226188733,1.252762968,0.077,0.142,9.686574551,0.884655856
1910,0.222242565,1.252762968,0.047,0.146,9.729134165,0.839331655
1911,0.223423158,1.280933845,0.03,0.177,9.752664663,0.810492025
1912,0.22731018,1.30833282,0.032,0.191,9.75846178,0.806523644
1913,0.227779472,1.335001067,0.021,0.231,9.76995616,0.799071767
1914,0.238719968,1.360976553,0.033,0.23,9.764225485,0.814443025
1915,0.236270931,1.504077397,0.011,0.241,9.792555992,0.771420526
1916,0.235990692,1.62924054,0.004,0.256,9.803667217,0.726518626
1917,0.236546566,1.887069649,0.006,0.302,9.803667217,0.697971787
1918,0.225356951,2.104134154,0.008,0.357,9.809176873,0.688063388
1919,0.21710002,2.240709689,0.034,0.431,9.786953736,0.73205342
1920,0.207938718,2.370243741,0.02,0.452,9.803667217,0.751252983
1921,0.213346954,2.240709689,0.113,0.358,9.71111566,0.856191898
1922,0.221044255,1.987874348,0.098,0.316,9.686574551,0.880216253
1923,0.220922043,1.945910149,0.081,0.302,9.71111566,0.855071928
1924,0.221536143,1.974081026,0.072,0.306,9.729134165,0.855486028
1925,0.227056077,1.987874348,0.079,0.301,9.729134165,0.887240497
1926,0.222242565,1.987874348,0.088,0.283,9.729134165,0.913178328
1927,0.225358213,1.960094784,0.068,0.264,9.75846178,0.917966341
1928,0.226585713,1.945910149,0.075,0.256,9.764225485,0.946406067
1929,0.227693335,1.945910149,0.073,0.257,9.775654181,0.967922195
1930,0.232064895,1.945910149,0.112,0.254,9.740968623,1.031149463
1931,0.006689263,1.931521412,0.151,0.24,9.705036614,0.975695632
1932,0.020199197,1.916922612,0.156,0.23,9.698920387,1.715105927
1933,0.229806603,1.902107526,0.141,0.226,9.723163998,1.650482836
1934,0.233073166,1.916922612,0.119,0.235,9.752664663,1.594552658
1935,0.235818509,1.916922612,0.11,0.249,9.764225485,1.558863484
1936,0.235843288,1.945910149,0.094,0.269,9.786953736,1.524754641
1937,0.237500766,1.974081026,0.078,0.296,9.809176873,1.495033665
1938,0.242119583,2.00148,0.093,0.305,9.798127037,1.501317237
1939,0.24075812,2.00148,0.058,0.316,9.841612149,1.443865695
1940,0.252428922,2.151762203,0.033,0.331,9.867860375,1.387905838
1941,0.255497332,2.208274414,0.012,0.357,9.893437217,1.323155078
1942,0.254805417,2.292534757,0.005,0.39,9.908475094,1.266432158
1943,0.255772112,2.332143895,0.004,0.404,9.913437883,1.199341516
1944,0.250909812,2.388762789,0.004,0.398,9.913437883,1.125751012
1945,0.242974664,2.415913778,0.005,0.386,9.918376165,1.060071097
1946,0.243319604,2.501435952,0.019,0.43,9.908475094,1.075875144
1947,0.239341011,2.533696814,0.014,0.445,9.918376165,1.08907213
1948,0.240851911,2.415913778,0.013,0.452,9.928180165,1.107864329
1949,0.244386428,2.468099531,0.012,0.448,9.928180165,1.126427274
1950,0.246161922,2.501435952,0.016,0.441,9.937888979,1.134333465
1951,0.247859389,2.564949357,0.013,0.45,9.947504438,1.138629227
1952,0.248869351,2.646174797,0.022,0.451,9.942708266,1.178273565
1953,0.251656326,2.721295428,0.018,0.446,9.952277717,1.236130979
1954,0.254080116,2.785011242,0.015,0.442,9.966462352,1.28002778
1955,0.254689174,2.862200881,0.012,0.445,9.98506754,1.306628358
1956,0.254619126,2.944438979,0.013,0.441,9.994241916,1.325672257
1957,0.255823935,3.015534901,0.016,0.44,9.998797732,1.343633058
1958,0.253358479,3.068052935,0.022,0.432,10.02127059,1.33571815
1959,0.263795271,3.086486637,0.023,0.44,9.971146201,1.410133779
1960,0.266124892,3.135494216,0.017,0.442,9.994241916,1.425912348
1961,0.266925412,3.210843653,0.016,0.44,10.00784757,1.45265812
1962,0.267027383,3.269568939,0.021,0.438,10.01681624,1.488706977
1963,0.270966669,3.295836866,0.026,0.437,10.02127059,1.527022187
1964,0.274430027,3.353406718,0.017,0.441,10.03451581,1.578967015
1965,0.275513919,3.430756184,0.014,0.442,10.0475879,1.630999251
1966,0.276840364,3.511545439,0.015,0.436,10.05190756,1.68250921
1967,0.281157009,3.546739687,0.023,0.437,10.03451581,1.770354291
1968,0.286365044,3.60004824,0.024,0.44,10.02570519,1.847507938
1969,0.288345131,3.668676747,0.024,0.453,10.02570519,1.902848421
1970,0.291337399,3.749504076,0.025,0.485,10.02127059,1.942402585
1971,0.295552652,3.871201011,0.026,0.487,10.00333289,1.997463539
1972,0.299020052,3.970291914,0.028,0.495,10.00333289,2.035936423
1973,0.302761124,4.110873864,0.02,0.493,10.0301202,2.042422134
1974,0.300490519,4.248495242,0.02,0.504,10.03451581,2.056625268
1975,0.30041514,4.406719247,0.031,0.51,10.0301202,2.080563534
1976,0.304332616,4.605170186,0.042,0.519,10.02127059,2.11041765
1977,0.306039192,4.736198448,0.044,0.537,10.02570519,2.120230504
1978,0.308120456,4.812184355,0.043,0.548,10.03451581,2.126366153
1979,0.308593615,4.955827058,0.04,0.546,10.05190756,2.124845733
1980,0.30757617,5.105945474,0.051,0.522,10.04324949,2.137924032
1981,0.312591337,5.231108617,0.081,0.517,9.994241916,2.173376766
1982,0.317427908,5.327876169,0.095,0.498,9.971146201,2.18882355
1983,0.322990763,5.416100402,0.104,0.48,9.957028319,2.210730602
1984,0.324813641,5.505331536,0.106,0.453,9.961756461,2.212065506
1985,0.327399257,5.583496309,0.109,0.45,9.971146201,2.207459277
1986,0.331435945,5.66296048,0.111,0.44,9.971146201,2.222301701
1987,0.33456662,5.726847748,0.1,0.437,9.980448594,2.23365606
1988,0.335430291,5.811140993,0.08,0.428,10.01234196,2.239039715
1989,0.33506502,5.886104031,0.062,0.415,10.0301202,2.250321541
1990,0.334505836,6.056784013,0.058,0.404,10.03889219,2.248325898
1991,0.337269368,6.118097198,0.08,0.392,10.00784757,2.267743028
1992,0.339089859,6.150602768,0.097,0.367,9.994241916,2.276668364
1993,0.343229946,6.190315406,0.103,0.359,9.980448594,2.291900858
1994,0.346889766,6.216606101,0.093,0.345,9.98506754,2.292686207
1995,0.347885722,6.248042875,0.08,0.335,9.998797732,2.27849344
1996,0.346162206,6.29156914,0.073,0.323,10.0301202,2.249665544
1997,0.346013904,6.336825731,0.055,0.317,10.05620864,2.232508077
