DATE,A576RC1
2000-07-01,4858.3
2000-08-01,4867.8
2000-09-01,4890.7
2000-10-01,4900.5
2000-11-01,4898.9
2000-12-01,4897.3
2001-01-01,4957.4
2001-02-01,4985.1
2001-03-01,4997.9
2001-04-01,4972.8
2001-05-01,4958.8
2001-06-01,4955.0
2001-07-01,4944.0
2001-08-01,4935.3
2001-09-01,4931.0
2001-10-01,4931.1
2001-11-01,4939.7
2001-12-01,4945.1
2002-01-01,4938.7
2002-02-01,4939.8
2002-03-01,4960.1
2002-04-01,4977.4
2002-05-01,4995.3
2002-06-01,5022.7
2002-07-01,5001.4
2002-08-01,5013.6
2002-09-01,5023.9
2002-10-01,5024.7
2002-11-01,5029.5
2002-12-01,5028.5
2003-01-01,5012.8
2003-02-01,5021.7
2003-03-01,5047.8
2003-04-01,5066.1
2003-05-01,5108.9
2003-06-01,5130.4
2003-07-01,5142.7
2003-08-01,5170.0
2003-09-01,5194.7
2003-10-01,5233.5
2003-11-01,5271.5
2003-12-01,5264.5
2004-01-01,5265.6
2004-02-01,5268.2
2004-03-01,5291.8
2004-04-01,5331.8
2004-05-01,5396.1
2004-06-01,5416.2
2004-07-01,5465.9
2004-08-01,5498.7
2004-09-01,5515.5
2004-10-01,5532.8
2004-11-01,5527.8
2004-12-01,5548.6
2005-01-01,5563.1
2005-02-01,5578.2
2005-03-01,5584.5
2005-04-01,5617.1
2005-05-01,5635.5
2005-06-01,5662.2
2005-07-01,5716.4
2005-08-01,5735.0
2005-09-01,5764.3
2005-10-01,5795.8
2005-11-01,5814.2
2005-12-01,5836.2
2006-01-01,5929.9
2006-02-01,5982.0
2006-03-01,6003.8
2006-04-01,6025.7
2006-05-01,5997.0
2006-06-01,6015.5
2006-07-01,6042.2
2006-08-01,6054.3
2006-09-01,6088.8
2006-10-01,6127.2
2006-11-01,6172.1
2006-12-01,6244.9
2007-01-01,6303.7
2007-02-01,6352.5
2007-03-01,6377.4
2007-04-01,6370.0
2007-05-01,6362.6
2007-06-01,6379.0
2007-07-01,6388.4
2007-08-01,6381.9
2007-09-01,6422.1
2007-10-01,6431.8
2007-11-01,6475.4
2007-12-01,6516.5
2008-01-01,6519.3
2008-02-01,6537.1
2008-03-01,6563.1
2008-04-01,6530.4
2008-05-01,6532.6
2008-06-01,6534.8
2008-07-01,6531.9
2008-08-01,6550.5
2008-09-01,6557.8
2008-10-01,6580.6
2008-11-01,6538.9
2008-12-01,6434.1
2009-01-01,6286.9
2009-02-01,6210.7
2009-03-01,6177.4
2009-04-01,6234.8
2009-05-01,6263.6
2009-06-01,6263.2
2009-07-01,6237.9
2009-08-01,6237.8
2009-09-01,6234.9
2009-10-01,6258.4
2009-11-01,6288.8
2009-12-01,6288.7
2010-01-01,6245.7
2010-02-01,6210.7
2010-03-01,6241.9
2010-04-01,6315.1
2010-05-01,6383.5
2010-06-01,6382.0
2010-07-01,6409.8
2010-08-01,6427.4
2010-09-01,6429.0
2010-10-01,6458.0
2010-11-01,6461.3
2010-12-01,6500.6
2011-01-01,6553.1
2011-02-01,6586.5
2011-03-01,6592.0
2011-04-01,6594.6
2011-05-01,6598.6
2011-06-01,6630.5
2011-07-01,6695.8
2011-08-01,6680.5
2011-09-01,6668.1
2011-10-01,6629.3
2011-11-01,6604.5
2011-12-01,6677.6
2012-01-01,6780.5
2012-02-01,6848.1
2012-03-01,6878.8
2012-04-01,6890.3
2012-05-01,6861.2
2012-06-01,6874.3
2012-07-01,6862.3
2012-08-01,6885.9
2012-09-01,6967.7
2012-10-01,7002.6
2012-11-01,7091.5
2012-12-01,7186.5
2013-01-01,7050.0
2013-02-01,7039.8
2013-03-01,7039.2
2013-04-01,7072.2
2013-05-01,7107.2
2013-06-01,7126.9
2013-07-01,7093.0
2013-08-01,7112.7
2013-09-01,7130.3
2013-10-01,7145.4
2013-11-01,7199.0
2013-12-01,7242.4
2014-01-01,7323.6
2014-02-01,7373.2
2014-03-01,7420.6
2014-04-01,7404.4
2014-05-01,7400.9
2014-06-01,7415.9
2014-07-01,7448.5
2014-08-01,7499.3
2014-09-01,7532.4
2014-10-01,7570.8
2014-11-01,7627.6
2014-12-01,7661.5
2015-01-01,7706.0
2015-02-01,7736.4
2015-03-01,7761.0
2015-04-01,7793.8
2015-05-01,7836.1
2015-06-01,7851.5
2015-07-01,7880.0
2015-08-01,7911.7
2015-09-01,7910.2
2015-10-01,7944.3
2015-11-01,7951.6
2015-12-01,7970.2
2016-01-01,7984.9
2016-02-01,7970.6
2016-03-01,7988.8
2016-04-01,8013.3
2016-05-01,8018.4
2016-06-01,8043.2
2016-07-01,8087.5
2016-08-01,8094.6
2016-09-01,8138.0
2016-10-01,8175.9
2016-11-01,8205.4
2016-12-01,8247.4
2017-01-01,8296.6
2017-02-01,8335.6
2017-03-01,8342.8
2017-04-01,8374.1
2017-05-01,8385.0
2017-06-01,8427.9
2017-07-01,8475.7
2017-08-01,8505.0
2017-09-01,8539.1
2017-10-01,8549.4
2017-11-01,8588.9
2017-12-01,8626.0
2018-01-01,8679.5
2018-02-01,8709.5
2018-03-01,8742.8
2018-04-01,8775.7
2018-05-01,8802.8
2018-06-01,8840.0
2018-07-01,8870.5
